title|description|start_date|end_date|category|tags|content_type|institution|Id
Jornada Internacional de Ingeniería de Sistemas​|La Jornada Internacional de Ingeniería de Sistemas (JINIS) se ha venido desarrollando durante 29 años en la Universidad Católica de Santa María, su primera versión se llevó a cabo el año 1992, y se ha continuado año a año. El JINIS ha logrado congregar científicos, investigadores y empresarios del área en cada una de sus ediciones. |2023-10-03|2023-10-05|Tecnología|Sistemas, Tecnologia, Sistemas|Evento|UCSM|1
Semana de la innovación i3week|"I3week es una semana enfocada en impulsar el emprendimiento y la innovación, reuniendo a académicos, empresarios, emprendedores y la comunidad en general. Este es el evento principal del año para adquirir conocimiento, compartir ideas y colaborar en la creación de valor y la construcción de un mundo mejor.

¡Inspírate y aprende con expertos en innovación, emprendimiento, sostenibilidad y transferencia tecnológica! Disfruta de charlas interesantes, conferencias, casos de éxito, talleres enriquecedores y oportunidades de hacer contactos. ¡No te pierdas esta gran oportunidad para crecer y aprender!"|2023-11-06|2023-11-10|Tecnología|Emprendimiento, innovación, tecnología|Evento|ESPOL|2
IV Foro Iberoamericano de Universidades y Sostenibilidad|Socializar los nuevos avances de las universidades miembro de las redes de ARIUSA en su compromiso con la sustentabilidad, con especial énfasis en cambio climático y su contribución a los ODS|2023-09-27|2023-09-27|Medio Ambiente|Medio ambiente, recursos naturales, sustentabilidad|Evento|USAC|3
II congreso INDETEIQ 2023|"Durante este evento, abordaremos temas de gran relevancia impartidos por destacados profesionales en campos como la gestión de aguas residuales, estrategias de educación superior, gestión integral de residuos, economía circular y síntesis de materiales.

Este año, tenemos el honor de contar con la participación de estudiantes que han culminado su pensum de estudio, quienes presentarán sus investigaciones en áreas que incluyen la conservación de energía, obtención de biopolímeros, elaboración de tinturas, mejora curricular y simulación en ingeniería química. A todos los asistentes se les otorgará un diploma de participación como reconocimiento a su compromiso y contribución."|2023-10-09|2023-10-11|Medio Ambiente|Ciencia de los materiales, polímeros, educación superior, estudiantes|Evento|USAC|4
Congreso de Química 2023|El congreso será un espacio de aprendizaje, intercambio de conocimientos y celebración de la química en todas sus facetas. Tendremos charlas magistrales con expertos destacados, sesiones interactivas, presentaciones de investigaciones de vanguardia y oportunidades de networking con colegas y profesionales de la química.|2023-10-25|2023-10-28|Innovación|Congreso de Química 2023        El congreso será un espacio de aprendizaje, intercambio de conocimientos y celebración de la química en todas sus facetas. Tendremos charlas magistrales con expertos destacados, sesiones interactivas, presentaciones de investigaciones de vanguardia y oportunidades de networking con colegas y profesionales de la química.|Evento|USAC|5
Desarrollo de un biofungicida de uso agrícola a base de extractos a celulares de trichoderma asperellum|Desarrollo de un biofungicida a base de extractos líquidos obtenidos a partir de dos cepas nativas de trichoderma asperellum (grb-ha1 y grb-ha2), que permita la generación de un biofungicida comercial útil para el control hongos del género fusarium como agente causal de la marchitez en cultivos de gulupa y mango. Objetivo Avanzar en los procesos de escalamiento para la producción de conidios de trichoderma asperellum grb-ha1 y grb-ha2 y y las pruebas de campo con la empresa palmixtex y el cultivo líquido para la obtención de extractos líquidos a partir de dos cepas nativas de trichoderma asperellum (grb-ha1 y grb-ha2) que permita la generación de un biofungicida comercial útil para el control hongos fitopatógenos.|2019-07-15|2021-01-14|Agricultura|Biofungicida, Trichoderma asperellum, Extractos líquidos, Control fitopatógenos|Proyecto|UDEM|6
Programa de Robótica STEAM BATEAS|Al menos 10 profesores y más de 120 alumnos se beneficiaron con el proyecto ¨Educando para el Futuro¨, que implementó este 2022 Minera Bateas en el Centro Poblado Menor de Jachaña, distrito de Caylloma, región de Arequipa. El objetivo del programa fue desarrollar las capacidades STEAM (Ciencia, tecnología, Ingeniería, arte y matemáticas por sus siglas en inglés) en los estudiantes, quienes lograron proyectos de robótica y desarrollaron herramientas digitales y de programación. Para clausurar el programa se realizó un concurso de exposición de robots con legos a través del cual los alumnos demostraron las destrezas aprendidas. “Los alumnos que participaron en este programa pertenecen en su mayoría a la condición económica de pobreza y pobreza extrema, sin embargo, han incrementado sus capacidades en algunas áreas, por lo cual consideramos que este enfoque de enseñanza-aprendizaje ayuda mucho”, destacó Edy Toledo, director de la Institución Educativa San Francisco de Asís de Jachaña. STEAM es un enfoque educativo donde se aprende explorando. Este formato implica el desarrollo del pensamiento computacional, un proceso donde interviene la formulación y resolución de problemas, de manera que puedan ser representadas y realizadas por un procesador de información.|2023-01-06||Tecnología|Innovación|Proyecto|UCSM|7
Fomento e Incentivo a la Publicación Científica en la UCSM|"El Vicerrectorado de Investigación convoca a los docentes, jefes de práctica (nombrados y contratados), estudiantes y egresados de pre-grado y post-grado y personal administrativo de la Universidad Católica de Santa María (UCSM) a presentar sus artículos de investigación publicados en revistas indexadas que se encuentren en bases de datos (Scopus y Web of Science – sólo Colección principal excluyendo ESCI) para obtener el bono de fomento e incentivo a la publicación científica. Como objetivos de la convocatoria el reconocer mediante el otorgamiento de un incentivo monetario no reembolsable el 
esfuerzo de los docentes e investigadores afiliados a la UCSM, por publicar sus 
resultados de investigación en revistas indexadas en bases de datos bibliográficas: 
Scopus o Web of Science – sólo Colección principal excluyendo ESCI, asegurando 
de ese modo que los resultados de investigación alcanzan la condición de trabajo 
científico, y por lo tanto es una prueba válida de que una investigación ha terminado.  "|2023-07-15|2023-12-01|Convocatoria|Reconocimiento Científico, Estímulo a la Publicación|Evento|UCSM|8
Semilleros de Investigación – Convocatoria Estudiantes 2023|"El Vicerrectorado de Investigación invita a estudiantes de Pregrado y docentes de la Universidad Católica
de Santa María, con interés desarrollo estudiantil de capacidades y aptitudes para la investigación 
científica, a presentar sus propuestas para el Concurso SEMILLEROS DE INVESTIGACIÓN CIENTÍFICA 2023,
según lo estipulado en las presentes bases y con cumplimiento estricto de los requisitos especificados a
lo largo de todo el documento y sus anexos.
"|2023-06-21|2023-08-07|Convocatoria|Investigación, Educación, Ciencia, Universidad, Convocatoria, Desarrollo Estudiantil, Capacidades, Aptitudes, Concurso, Vicerrectorado, Documento, Anexos, Estudiantes, Docentes, UCSM (Universidad Católica de Santa María), 2023.|Proyecto|UCSM|9
Feria Universitaria de Ciencia y Tecnología UCSM|"La ""Feria Universitaria de Ciencia y Tecnología UCSM"" es una convocatoria realizada por el Vicerrectorado de Investigación de la Universidad Católica de Santa María. Está diseñada para estudiantes de pregrado interesados en la investigación científica y tecnológica. El objetivo principal es fomentar el interés por la investigación, promover la creatividad y la innovación, y fortalecer la relación entre la universidad, el sector empresarial y las instituciones comprometidas con la ciencia y tecnología. Los participantes deben presentar propuestas de investigación concluidas que no provengan de tesis o proyectos financiados. El proceso incluye postulación, presentación oral y evaluación por un comité designado."|2023-06-01|2023-07-23|Ciencia y Tecnologia|Feria de Ciencia y Tecnología, Investigación Universitaria, Estudiantes de Pregrado, Desarrollo Científico, Innovación Estudiantil.|Evento|UCSM|10
